timestamp,meter_id,consumption_kw
2026-06-14T08:00:00,METER_001,1.5
2026-06-14T08:00:00,METER_002,2.3
2026-06-14T08:00:00,METER_003,5.2
2026-06-14T09:00:00,METER_001,1.8
2026-06-14T09:00:00,METER_002,3.1
2026-06-14T09:00:00,METER_003,4.9
2026-06-14T10:00:00,METER_001,2.0
2026-06-14T10:00:00,METER_002,6.1
2026-06-14T10:00:00,METER_003,4.2
2026-06-14T11:00:00,METER_001,2.2
2026-06-14T11:00:00,METER_002,2.8
2026-06-14T11:00:00,METER_003,3.9
2026-06-14T12:00:00,METER_001,5.5
2026-06-14T12:00:00,METER_002,3.4
2026-06-14T12:00:00,METER_003,4.1
