timestamp,meter_id,consumption_kw
2026-05-01T08:00:00,METER_001,1.2
2026-05-01T12:00:00,METER_001,2.0
2026-05-01T18:00:00,METER_002,4.5
2026-05-15T08:00:00,METER_001,1.5
2026-05-15T12:00:00,METER_002,5.2
2026-05-15T18:00:00,METER_001,2.1
2026-05-29T08:00:00,METER_002,3.0
2026-05-29T12:00:00,METER_001,6.5
2026-05-29T18:00:00,METER_002,1.8
2026-06-01T08:00:00,METER_001,2.2
2026-06-01T12:00:00,METER_002,2.8
2026-06-01T18:00:00,METER_001,3.5
2026-06-08T08:00:00,METER_002,4.1
2026-06-08T12:00:00,METER_001,5.8
2026-06-08T18:00:00,METER_002,3.2
2026-06-15T08:00:00,METER_001,2.5
2026-06-15T12:00:00,METER_002,3.3
2026-06-15T18:00:00,METER_001,7.2
